l2,percep,p-norm,item
0.004906280431896448,0.0899968296289444,3214.13134765625,3214.226318359375
0.004977216478437185,0.09055815637111664,3213.581298828125,3213.6767578125
0.004842115566134453,0.0902746319770813,3213.067138671875,3213.162353515625
0.0048148431815207005,0.08976723998785019,3212.5859375,3212.680419921875
0.004838265478610992,0.09028627723455429,3212.1337890625,3212.22900390625
0.004836241714656353,0.08876380324363708,3211.70849609375,3211.802001953125
0.004784240387380123,0.08848956227302551,3211.305419921875,3211.398681640625
0.00481968792155385,0.08827570825815201,3210.923583984375,3211.0166015625
0.004815509542822838,0.08878480643033981,3210.5615234375,3210.655029296875
0.00469414284452796,0.08884381502866745,3210.21630859375,3210.309814453125
0.00473418366163969,0.08699870109558105,3209.886962890625,3209.978759765625
